beat_id,rank,origin,asset_id,provider,video_id,query,semantic_score,final_score,width,height,duration,contributor,page_url,filename,status,error
B001,1,online,pexels:29792714,pexels,29792714,clouds forest morning,0.18718607856333255,0.21718607856333255,1920,1080,15.0,Julien Goettelmann,https://www.pexels.com/video/breathtaking-aerial-view-of-misty-forest-29792714/,B001_PEXELS_29792714.mp4,downloaded,
B001,2,online,pexels:29792712,pexels,29792712,misty treetops dawn,0.1788255071491003,0.2088255071491003,1920,1080,15.0,Julien Goettelmann,https://www.pexels.com/video/aerial-view-of-misty-forest-in-autumn-29792712/,B001_PEXELS_29792712.mp4,downloaded,
B002,1,online,pexels:11621861,pexels,11621861,forest stream blue hour,0.16375843301415444,0.19375843301415444,3840,2160,60.0,I Am Sorin,https://www.pexels.com/video/flowing-water-in-stream-11621861/,B002_PEXELS_11621861.mp4,downloaded,
B002,2,online,pexels:27546116,pexels,27546116,forest stream blue hour,0.1617055715620518,0.19170557156205179,3840,2160,16.0,Ünal Karabiber,https://www.pexels.com/video/a-small-stream-runs-through-a-lush-green-forest-27546116/,B002_PEXELS_27546116.mp4,downloaded,
B003,1,online,pexels:5840477,pexels,5840477,back view forest blue hour,0.16042462266981602,0.19042462266981602,4096,2160,18.0,KATRIN  BOLOVTSOVA,https://www.pexels.com/video/person-walking-alone-in-the-woods-5840477/,B003_PEXELS_5840477.mp4,downloaded,
B003,2,online,pexels:4508013,pexels,4508013,back view forest blue hour,0.15635985225439072,0.18635985225439072,3840,2160,17.0,Ton Souza,https://www.pexels.com/video/man-walking-going-to-the-lake-4508013/,B003_PEXELS_4508013.mp4,downloaded,
B004,1,online,pexels:28431353,pexels,28431353,dew forest leaves,0.14893357654412587,0.17813357654412584,2560,1440,14.0,Michał Robak,https://www.pexels.com/video/a-green-plant-in-the-woods-with-rain-drops-28431353/,B004_PEXELS_28431353.mp4,downloaded,
B004,2,online,pexels:6186128,pexels,6186128,dew forest leaves,0.1471894524395466,0.1771894524395466,3840,2160,15.0,Miguel Á. Padriñán,https://www.pexels.com/video/close-up-video-of-a-leaf-6186128/,B004_PEXELS_6186128.mp4,downloaded,
B005,1,online,pexels:27065367,pexels,27065367,forest trail first light,0.15242828518152238,0.18242828518152238,3840,2160,22.0,Matthias Groeneveld,https://www.pexels.com/video/the-sun-shines-through-the-trees-in-the-woods-27065367/,B005_PEXELS_27065367.mp4,downloaded,
B005,2,online,pexels:32909321,pexels,32909321,path through trees morning,0.14751966759562493,0.17751966759562493,3840,2160,29.0,Jay's Photography,https://www.pexels.com/video/4k-aerial-view-of-irish-forest-path-32909321/,B005_PEXELS_32909321.mp4,downloaded,
B006,1,online,pexels:6965891,pexels,6965891,winding trail drone morning,0.17071428973972796,0.20071428973972796,1920,1080,21.0,Pavel Danilyuk,https://www.pexels.com/video/drone-footage-of-a-country-road-6965891/,B006_PEXELS_6965891.mp4,downloaded,
B006,2,online,pexels:33213917,pexels,33213917,winding trail drone morning,0.16026480734348297,0.19026480734348297,3840,2160,23.0,K,https://www.pexels.com/video/aerial-view-of-serene-green-forest-trails-33213917/,B006_PEXELS_33213917.mp4,downloaded,
B007,1,online,pexels:6512221,pexels,6512221,river over stones morning,0.1671178551018238,0.1971178551018238,3840,2160,35.0,Ambient_Nature_ Atmosphere,https://www.pexels.com/video/mist-over-the-lake-6512221/,B007_PEXELS_6512221.mp4,downloaded,
B007,2,online,pexels:6444883,pexels,6444883,river over stones morning,0.15418512463569642,0.18418512463569642,3840,2160,21.0,Ambient_Nature_ Atmosphere,https://www.pexels.com/video/low-angle-shot-of-the-lake-6444883/,B007_PEXELS_6444883.mp4,downloaded,
B008,1,online,pexels:28638604,pexels,28638604,footsteps trail morning,0.16295223250985147,0.19295223250985147,3840,2160,29.0,K,https://www.pexels.com/video/hiker-walking-through-peaceful-forest-trail-28638604/,B008_PEXELS_28638604.mp4,downloaded,
B008,2,online,pexels:20583507,pexels,20583507,distant walker woods,0.15073706522583963,0.18073706522583963,3840,2160,23.0,Matthias Groeneveld,https://www.pexels.com/video/a-person-walking-down-a-dirt-road-at-sunset-20583507/,B008_PEXELS_20583507.mp4,downloaded,
B009,1,online,pexels:10728079,pexels,10728079,Bible beside river sunrise,0.16500235280022027,0.19500235280022027,3840,2160,96.0,Tom Fisk,https://www.pexels.com/video/fog-over-river-curves-10728079/,B009_PEXELS_10728079.mp4,downloaded,
B009,2,online,pexels:18425293,pexels,18425293,Bible beside river sunrise,0.14802042707800867,0.17802042707800866,3840,2160,51.0,Tom Fisk,https://www.pexels.com/video/a-river-with-mountains-in-the-background-and-a-sun-setting-18425293/,B009_PEXELS_18425293.mp4,downloaded,
B010,1,online,pexels:31807934,pexels,31807934,forest trail first light,0.16611970081925392,0.19611970081925392,3840,2160,21.0,Matthias Groeneveld,https://www.pexels.com/video/serene-sunrise-through-forest-trees-31807934/,B010_PEXELS_31807934.mp4,downloaded,
B010,2,online,pexels:17992784,pexels,17992784,forest trail first light,0.15020466201007368,0.18020466201007368,3840,2160,37.0,Sacha Moreau,https://www.pexels.com/video/a-picnic-table-in-the-woods-with-the-sun-shining-through-17992784/,B010_PEXELS_17992784.mp4,downloaded,
B011,1,online,pexels:4095050,pexels,4095050,cedar beside trail,0.17047145915031434,0.1996714591503143,3840,2160,14.0,WeStarMoney  Rec,https://www.pexels.com/video/running-through-the-woods-on-a-dirt-path-4095050/,B011_PEXELS_4095050.mp4,downloaded,
B011,2,online,pexels:7157038,pexels,7157038,cedar beside trail,0.16017563302069904,0.19017563302069904,3840,2160,60.0,I Am Sorin,https://www.pexels.com/video/forest-in-autumn-7157038/,B011_PEXELS_7157038.mp4,downloaded,
B012,1,online,pexels:11675458,pexels,11675458,river valley drone morning,0.16906723022460937,0.19906723022460937,3840,2160,25.0,Sergei Skrynnik,https://www.pexels.com/video/aerial-view-of-a-river-in-the-mountains-in-altai-11675458/,B012_PEXELS_11675458.mp4,downloaded,
B012,2,online,pexels:18934396,pexels,18934396,forest river aerial first light,0.1645604194700718,0.1945604194700718,3840,2160,63.0,Tom Fisk,https://www.pexels.com/video/aerial-view-of-a-river-and-fog-in-the-morning-18934396/,B012_PEXELS_18934396.mp4,downloaded,
B014,1,online,pexels:3626773,pexels,3626773,moss close up sunrise,0.14736842778325082,0.17736842778325082,1920,1080,21.0,The Marc Knight,https://www.pexels.com/video/dormant-moss-on-plant-stem-due-to-lack-of-water-3626773/,B014_PEXELS_3626773.mp4,downloaded,
B014,2,online,pexels:5909382,pexels,5909382,moss close up sunrise,0.14708512812852859,0.17708512812852858,3840,2160,24.0,Yaroslav Shuraev,https://www.pexels.com/video/moss-on-the-ground-5909382/,B014_PEXELS_5909382.mp4,downloaded,
